,S.no,SupervisorComments,Reason,Comments,SolutionGiven,CheckDescription,MachineName,CheckType,DepartmentName
138,569,Base lock was loose.,MAINTENANCE BREAKDOWN,row cutter bolt was loose,Try to fit meter's lock,CHECK FOR MAINTENANCE BREAKDOWN,Amada Punching,MAINTENANCE,Fabrication
139,572,Base lock was loose.,endsheet detector was not working,NIL,Try to fit meter's lock,Check Safety sensor for Active (should stop when interupted),Expander-4-7mm OAK,CLIRT,Coil Shop
140,573,Base lock was loose.,MAINTENANCE BREAKDOWN,Vacuuming issue in gas charging M/C.,Try to fit meter's lock,CHECK FOR MAINTENANCE BREAKDOWN,G1 Assembly Line,MAINTENANCE,Assembly Line
141,576,Base lock was loose.,MAINTENANCE BREAKDOWN,NIL,Try to fit meter's lock,Inspect All hoses for any damages.,Carson Flaring,CLIRT,System Tubing
142,577,Base lock was loose.,MAINTENANCE BREAKDOWN,NIL,Try to fit meter's lock,Lubricate all parts.Do greasing to all points.,Carson Flaring,CLIRT,System Tubing
143,578,Base lock was loose.,MAINTENANCE BREAKDOWN,NIL,Try to fit meter's lock,Check  all Pneumatic air solenoid valves.,Carson Flaring,CLIRT,System Tubing
144,579,Base lock was loose.,MAINTENANCE BREAKDOWN,NIL,Try to fit meter's lock,Check the oil supply rate from air line lubricator .,Carson Flaring,CLIRT,System Tubing
145,580,Base lock was loose.,MAINTENANCE BREAKDOWN,NIL,Try to fit meter's lock,Check the pressure gauge for proper working (Pointer should return to zero when no air pressure),Carson Flaring,CLIRT,System Tubing
146,581,Base lock was loose.,MAINTENANCE BREAKDOWN,NIL,Try to fit meter's lock,Check the pressure gauges for proper permissible marking indications ,Carson Flaring,CLIRT,System Tubing
147,582,Base lock was loose.,MAINTENANCE BREAKDOWN,NIL,Try to fit meter's lock,Clean the air filter .,Carson Flaring,CLIRT,System Tubing
148,583,Base lock was loose.,MAINTENANCE BREAKDOWN,NIL,Try to fit meter's lock,CHECK FOR MAINTENANCE BREAKDOWN,Amada Punching,MAINTENANCE,Fabrication
149,585,Base lock was loose.,MAINTENANCE BREAKDOWN,undefined,Try to fit meter's lock,CHECK FOR MAINTENANCE BREAKDOWN,Amada Punching,MAINTENANCE,Fabrication
150,586,Base lock was loose.,MAINTENANCE BREAKDOWN,NIL,Try to fit meter's lock,Check Hydraulic reservoir tank for level (As per indicator),Expander-4-7mm OAK,CLIRT,Coil Shop
151,615,Base lock was loose.,MAINTENANCE BREAKDOWN,stacker was not properly working,Try to fit meter's lock,CHECK FOR MAINTENANCE BREAKDOWN,Finpress-1-OAK 7mm 2P,MAINTENANCE,Coil Shop
152,621,Base lock was loose.,MAINTENANCE BREAKDOWN,stacker was not properly working,Try to fit meter's lock,CHECK FOR MAINTENANCE BREAKDOWN,Amada Punching,MAINTENANCE,Fabrication
153,622,sensor was continuously on,endsheet detector was not working,sensor was continuously on,Change the setting in the sensor,Check Safety sensor for Active (should stop when interupted),Expander-4-7mm OAK,CLIRT,Coil Shop
154,623,sensor was continuously on,Monitor display blinking,NIL,Change the setting in the sensor,Check USB and Ethernet connection to PC : No abnormality Other Abnormalities,F2 Assembly Line,CLIRT,Assembly Line
155,624,sensor was continuously on,Monitor display blinking,NIL,Change the setting in the sensor,Check Earthing connected tightly,F2 Assembly Line,CLIRT,Assembly Line
156,625,lock was loose.,energy meter was loosely fitted,NIL,Try to fit it properly,Check Energy meter for proper functioning : 405-420VAC Check All electrical Indicators & switches : Normal working,F2 Assembly Line,CLIRT,Assembly Line
157,626,sensor was continuously on,MAINTENANCE BREAKDOWN,sensor was continuously on,Change the setting in the sensor,CHECK FOR MAINTENANCE BREAKDOWN,Expander-4-7mm OAK,MAINTENANCE,Coil Shop
158,630,sensor was continuously on,MAINTENANCE BREAKDOWN,Sensor was not working properly,Change the setting in the sensor,CHECK FOR MAINTENANCE BREAKDOWN,Expander-4-7mm OAK,MAINTENANCE,Coil Shop
159,631,sensor was continuously on,MAINTENANCE BREAKDOWN,sensor setting,Change the setting in the sensor,CHECK FOR MAINTENANCE BREAKDOWN,Expander-4-7mm OAK,MAINTENANCE,Coil Shop
160,636,sensor was continuously on,MAINTENANCE BREAKDOWN,NIL,Change the setting in the sensor,Check Energy meter for proper functioning : 405-420VAC Check All electrical Indicators & switches : Normal working,F2 Assembly Line,CLIRT,Assembly Line
161,637,sensor was continuously on,endsheet detector was not working,NIL,Change the setting in the sensor,Check Safety sensor for Active (should stop when interupted),Expander-4-7mm OAK,CLIRT,Coil Shop
162,638,sensor was continuously on,MAINTENANCE BREAKDOWN,NIL,Change the setting in the sensor,CHECK FOR MAINTENANCE BREAKDOWN,Amada Punching,MAINTENANCE,Fabrication
163,698,Solenoid coil was detoriate.,MAINTENANCE BREAKDOWN,Enhance tank solenoid valve not operating properly.,Replace the solenoid coil,CHECK FOR MAINTENANCE BREAKDOWN,Finpress-2-OAK 3/8 4P,MAINTENANCE,Coil Shop
164,699,Controller feedback was not within range.,MAINTENANCE BREAKDOWN,undefined,Replace the controller communication cable.,CHECK FOR MAINTENANCE BREAKDOWN,F2 Assembly Line,MAINTENANCE,Assembly Line
165,703,HV IR Tester hanged,MAINTENANCE BREAKDOWN,IR WAS FAIL IN ATE.,Restart the HV-IR Tester,CHECK FOR MAINTENANCE BREAKDOWN,F1 Assembly Line,MAINTENANCE,Assembly Line
166,704,HV IR Tester hanged,MAINTENANCE BREAKDOWN,NIL,Restart the HV-IR Tester,Check Safety sensor for Active (should stop when interupted),Expander-4-7mm OAK,CLIRT,Coil Shop
167,705,HV IR Tester hanged,MAINTENANCE BREAKDOWN,NIL,Restart the HV-IR Tester,CHECK FOR MAINTENANCE BREAKDOWN,Amada Punching,MAINTENANCE,Fabrication
168,707,CNC communication was broken.,MAINTENANCE BREAKDOWN,CNC communication was broken.,Restarted system twice and done.,CHECK FOR MAINTENANCE BREAKDOWN,Amada Punching,MAINTENANCE,Fabrication
169,708,Pressure was not indicated properly,MAINTENANCE BREAKDOWN,Pressure decay system malfunctioning,Replace the pressure sensor and charge the hoses,CHECK FOR MAINTENANCE BREAKDOWN,G0 Assembly Line,MAINTENANCE,Assembly Line
170,710,Test,MAINTENANCE BREAKDOWN,Breakdown Test,Test,CHECK FOR MAINTENANCE BREAKDOWN,G0 Assembly Line,MAINTENANCE,Assembly Line
